Date,Trial,Matrix,Tank,Treatment,Dose,Rep,Media,CFU,
21-Jan-22,Farm_TCBS,Soup,Combined,Biofouling,1,A,TCBS,7200,
21-Jan-22,Farm_TCBS,Soup,Combined,Biofouling,1,B,TCBS,2600,
21-Jan-22,Farm_TCBS,Soup,Combined,Biofouling,1,C,TCBS,7700,
02-Feb-22,Farm_TCBS,Soup,Combined,Biofouling,2,A,TCBS,410,
02-Feb-22,Farm_TCBS,Soup,Combined,Biofouling,2,B,TCBS,260,
02-Feb-22,Farm_TCBS,Soup,Combined,Biofouling,2,C,TCBS,340,
16-Feb-22,Farm_TCBS,Soup,Combined,Biofouling,3,A,TCBS,300000,
16-Feb-22,Farm_TCBS,Soup,Combined,Biofouling,3,B,TCBS,230000,
16-Feb-22,Farm_TCBS,Soup,Combined,Biofouling,3,C,TCBS,1010,
17-Feb-22,Lab_TCBS,Soup,5,Biofouling,1,A,TCBS,690000,
17-Feb-22,Lab_TCBS,Soup,5,Biofouling,1,B,TCBS,520000,
17-Feb-22,Lab_TCBS,Soup,5,Biofouling,1,C,TCBS,470000,
17-Feb-22,Lab_TCBS,Soup,6,Biofouling,1,A,TCBS,320000,
17-Feb-22,Lab_TCBS,Soup,6,Biofouling,1,B,TCBS,620000,
17-Feb-22,Lab_TCBS,Soup,6,Biofouling,1,C,TCBS,1310000,
17-Feb-22,Lab_TCBS,Soup,7,Biofouling,1,A,TCBS,530000,
17-Feb-22,Lab_TCBS,Soup,7,Biofouling,1,B,TCBS,630000,
17-Feb-22,Lab_TCBS,Soup,7,Biofouling,1,C,TCBS,1680000,
17-Feb-22,Lab_TCBS,Soup,8,Biofouling,1,A,TCBS,590000,
17-Feb-22,Lab_TCBS,Soup,8,Biofouling,1,B,TCBS,410000,
17-Feb-22,Lab_TCBS,Soup,8,Biofouling,1,C,TCBS,910000,
24-Feb-22,Lab_TCBS,Soup,5,Biofouling,2,A,TCBS,1880000,
24-Feb-22,Lab_TCBS,Soup,5,Biofouling,2,B,TCBS,280000,
24-Feb-22,Lab_TCBS,Soup,6,Biofouling,2,A,TCBS,210000,
24-Feb-22,Lab_TCBS,Soup,6,Biofouling,2,B,TCBS,90000,
24-Feb-22,Lab_TCBS,Soup,7,Biofouling,2,A,TCBS,130000,
24-Feb-22,Lab_TCBS,Soup,7,Biofouling,2,B,TCBS,180000,
24-Feb-22,Lab_TCBS,Soup,8,Biofouling,2,A,TCBS,1680000,
24-Feb-22,Lab_TCBS,Soup,8,Biofouling,2,B,TCBS,1720000,
07-Mar-22,Lab_TCBS,Soup,5,Biofouling,3,A,TCBS,1820000,
07-Mar-22,Lab_TCBS,Soup,5,Biofouling,3,B,TCBS,194000,
07-Mar-22,Lab_TCBS,Soup,5,Biofouling,3,C,TCBS,1280000,
07-Mar-22,Lab_TCBS,Soup,6,Biofouling,3,A,TCBS,230000,
07-Mar-22,Lab_TCBS,Soup,6,Biofouling,3,B,TCBS,2100000,
07-Mar-22,Lab_TCBS,Soup,6,Biofouling,3,C,TCBS,1720000,
07-Mar-22,Lab_TCBS,Soup,7,Biofouling,3,A,TCBS,1760000,
07-Mar-22,Lab_TCBS,Soup,7,Biofouling,3,B,TCBS,1280000,
07-Mar-22,Lab_TCBS,Soup,7,Biofouling,3,C,TCBS,1840000,
07-Mar-22,Lab_TCBS,Soup,8,Biofouling,3,A,TCBS,1620000,
07-Mar-22,Lab_TCBS,Soup,8,Biofouling,3,B,TCBS,1600000,
07-Mar-22,Lab_TCBS,Soup,8,Biofouling,3,C,TCBS,880000,
21-Jan-22,Farm_MSSM,Soup,Combined,Biofouling,1,A,MSSM,46000,
21-Jan-22,Farm_MSSM,Soup,Combined,Biofouling,1,B,MSSM,40400,
21-Jan-22,Farm_MSSM,Soup,Combined,Biofouling,1,C,MSSM,45600,
02-Feb-22,Farm_MSSM,Soup,Combined,Biofouling,2,A,MSSM,230000,
02-Feb-22,Farm_MSSM,Soup,Combined,Biofouling,2,B,MSSM,130000,
02-Feb-22,Farm_MSSM,Soup,Combined,Biofouling,2,C,MSSM,290000,
16-Feb-22,Farm_MSSM,Soup,Combined,Biofouling,3,A,MSSM,970000,
16-Feb-22,Farm_MSSM,Soup,Combined,Biofouling,3,B,MSSM,1130000,
16-Feb-22,Farm_MSSM,Soup,Combined,Biofouling,3,C,MSSM,640000,
17-Feb-22,Lab_MSSM,Soup,5,Biofouling,1,A,MSSM,1800000,
17-Feb-22,Lab_MSSM,Soup,5,Biofouling,1,B,MSSM,1440000,
17-Feb-22,Lab_MSSM,Soup,5,Biofouling,1,C,MSSM,1980000,
17-Feb-22,Lab_MSSM,Soup,6,Biofouling,1,A,MSSM,1260000,
17-Feb-22,Lab_MSSM,Soup,6,Biofouling,1,B,MSSM,1350000,
17-Feb-22,Lab_MSSM,Soup,6,Biofouling,1,C,MSSM,1150000,
17-Feb-22,Lab_MSSM,Soup,7,Biofouling,1,A,MSSM,1920000,
17-Feb-22,Lab_MSSM,Soup,7,Biofouling,1,B,MSSM,1400000,
17-Feb-22,Lab_MSSM,Soup,7,Biofouling,1,C,MSSM,2230000,
17-Feb-22,Lab_MSSM,Soup,8,Biofouling,1,A,MSSM,1760000,
17-Feb-22,Lab_MSSM,Soup,8,Biofouling,1,B,MSSM,1150000,
17-Feb-22,Lab_MSSM,Soup,8,Biofouling,1,C,MSSM,1870000,
24-Feb-22,Lab_MSSM,Soup,5,Biofouling,2,A,MSSM,570000,
24-Feb-22,Lab_MSSM,Soup,5,Biofouling,2,B,MSSM,1390000,
24-Feb-22,Lab_MSSM,Soup,6,Biofouling,2,A,MSSM,610000,
24-Feb-22,Lab_MSSM,Soup,6,Biofouling,2,B,MSSM,730000,
24-Feb-22,Lab_MSSM,Soup,7,Biofouling,2,A,MSSM,830000,
24-Feb-22,Lab_MSSM,Soup,7,Biofouling,2,B,MSSM,490000,
24-Feb-22,Lab_MSSM,Soup,8,Biofouling,2,A,MSSM,310000,
24-Feb-22,Lab_MSSM,Soup,8,Biofouling,2,B,MSSM,410000,
07-Mar-22,Lab_MSSM,Soup,5,Biofouling,3,A,MSSM,570000,
07-Mar-22,Lab_MSSM,Soup,5,Biofouling,3,B,MSSM,188000,
07-Mar-22,Lab_MSSM,Soup,5,Biofouling,3,C,MSSM,1720000,
07-Mar-22,Lab_MSSM,Soup,6,Biofouling,3,A,MSSM,840000,
07-Mar-22,Lab_MSSM,Soup,6,Biofouling,3,B,MSSM,1020000,
07-Mar-22,Lab_MSSM,Soup,6,Biofouling,3,C,MSSM,590000,
07-Mar-22,Lab_MSSM,Soup,7,Biofouling,3,A,MSSM,810000,
07-Mar-22,Lab_MSSM,Soup,7,Biofouling,3,B,MSSM,620000,
07-Mar-22,Lab_MSSM,Soup,7,Biofouling,3,C,MSSM,760000,
07-Mar-22,Lab_MSSM,Soup,8,Biofouling,3,A,MSSM,630000,
07-Mar-22,Lab_MSSM,Soup,8,Biofouling,3,B,MSSM,1220000,
07-Mar-22,Lab_MSSM,Soup,8,Biofouling,3,C,MSSM,970000,
