Treatment,Dose,name,variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
Biofouling,1,Tenacibaculum spp.,value,2,100,2100,1100,600,1600,1000,1482.6,1100,1414.214,1000,12706.205
Biofouling,1,Vibrio spp.,value,2,600,700,650,625,675,50,74.13,650,70.711,50,635.31
Control,1,Tenacibaculum spp.,value,2,1000,5000,3000,2000,4000,2000,2965.2,3000,2828.427,2000,25412.409
Control,1,Vibrio spp.,value,2,700,1100,900,800,1000,200,296.52,900,282.843,200,2541.241
Biofouling,2,Tenacibaculum spp.,value,2,200,4200,2200,1200,3200,2000,2965.2,2200,2828.427,2000,25412.409
Biofouling,2,Vibrio spp.,value,2,800,3200,2000,1400,2600,1200,1779.12,2000,1697.056,1200,15247.446
Control,2,Tenacibaculum spp.,value,2,330,420,375,352.5,397.5,45,66.717,375,63.64,45,571.779
Control,2,Vibrio spp.,value,2,840,3400,2120,1480,2760,1280,1897.728,2120,1810.193,1280,16263.942
Biofouling,3,Tenacibaculum spp.,value,2,1800,1900,1850,1825,1875,50,74.13,1850,70.711,50,635.31
Biofouling,3,Vibrio spp.,value,2,10,10,10,10,10,0,0,10,0,0,0
Control,3,Tenacibaculum spp.,value,2,1700,2920,2310,2005,2615,610,904.386,2310,862.67,610,7750.785
Control,3,Vibrio spp.,value,2,100,1300,700,400,1000,600,889.56,700,848.528,600,7623.723
